genre_ids,id,original_language,original_title,overview,popularity,release_date,title,vote_average,vote_count,nome_no_dataset,data_no_dataset
"[18, 53, 28]",1372,en,Blood Diamond,"An ex-mercenary turned smuggler. A Mende fisherman. Amid the explosive civil war overtaking 1999 Sierra Leone, these men join for two desperate missions: recovering a rare pink diamond of immense value and rescuing the fisherman's son, conscripted as a child soldier into the brutal rebel forces ripping a swath of torture and bloodshed countrywide.",11.1885,2006-12-08,Blood Diamond,7.55,7939,Blood Diamond,2006
"[28, 18, 9648, 53]",2503,en,The Bourne Ultimatum,"Bourne is brought out of hiding once again by reporter Simon Ross who is trying to unveil Operation Blackbriar, an upgrade to Project Treadstone, in a series of newspaper columns. Information from the reporter stirs a new set of memories, and Bourne must finally uncover his dark past while dodging The Company's best efforts to eradicate him.",10.6443,2007-08-03,The Bourne Ultimatum,7.43,7967,The Bourne Ultimatum,2007
"[80, 28]",187,en,Sin City,"Welcome to Sin City. This town beckons to the tough, the corrupt, the brokenhearted. Some call it dark… Hard-boiled. Then there are those who call it home — Crooked cops, sexy dames, desperate vigilantes. Some are seeking revenge, others lust after redemption, and then there are those hoping for a little of both. A universe of unlikely and reluctant heroes still trying to do the right thing in a city that refuses to care.",9.0585,2005-04-01,Sin City,7.466,8432,Sin City,2005
"[35, 12, 878]",27275,tr,G.O.R.A.,"Carpet dealer and UFO photo forger Arif is abducted by aliens and must outwit the evil commander-in-chief of G.O.R.A., the planet where he is being held.",0.695,2004-11-12,G.O.R.A.,7.3,344,G.O.R.A.,2004
"[16, 35, 10751, 14]",2062,en,Ratatouille,"Remy, a resident of Paris, appreciates good food and has quite a sophisticated palate. He would love to become a chef so he can create and enjoy culinary masterpieces to his heart's delight. The only problem is, Remy is a rat. When he winds up in the sewer beneath one of Paris' finest restaurants, the rodent gourmet finds himself ideally placed to realize his dream.",19.4924,2007-06-28,Ratatouille,7.831,17755,Ratatouille,2007
"[12, 28, 53]",36557,en,Casino Royale,"Le Chiffre, a banker to the world's terrorists, is scheduled to participate in a high-stakes poker game in Montenegro, where he intends to use his winnings to establish his financial grip on the terrorist market. M sends Bond—on his maiden mission as a 00 Agent—to attend this game and prevent Le Chiffre from winning. With the help of Vesper Lynd and Felix Leiter, Bond enters the most important poker game in his already dangerous career.",12.399,2006-11-14,Casino Royale,7.563,11124,Casino Royale,2006
"[28, 80, 53]",393,en,Kill Bill: Vol. 2,"The Bride unwaveringly continues on her roaring rampage of revenge against the band of assassins who had tried to kill her and her unborn child. She visits each of her former associates one-by-one, checking off the victims on her Death List Five until there's nothing left to do … but kill Bill.",10.7976,2004-04-16,Kill Bill: Vol. 2,7.874,14422,Kill Bill: Vol. 2,2004
"[10749, 18, 36]",921,en,Cinderella Man,"The true story of boxer Jim Braddock who, following his retirement in the 1930s, makes a surprise comeback in order to lift his family out of poverty.",6.0783,2005-06-02,Cinderella Man,7.563,2282,Cinderella Man,2005
"[35, 18, 10749]",4254,hi,कल हो ना हो,An uptight MBA student falls for the charismatic new neighbor who charms her troubled family – but he has a secret that forces him to push her away.,3.5418,2003-11-27,Kal Ho Naa Ho,7.447,415,Kal Ho Naa Ho,2003
"[12, 14, 28]",22,en,Pirates of the Caribbean: The Curse of the Black Pearl,"After Port Royal is attacked and pillaged by a mysterious pirate crew, capturing the governor's daughter Elizabeth Swann in the process, William Turner asks free-willing pirate Jack Sparrow to help him locate the crew's ship—The Black Pearl—so that he can rescue the woman he loves.",23.5119,2003-07-09,Pirates of the Caribbean: The Curse of the Black Pearl,7.813,21396,Pirates of the Caribbean: The Curse of the Black Pearl,2003
"[12, 14, 18]",587,en,Big Fish,"Throughout his life Edward Bloom has always been a man of big appetites, enormous passions and tall tales. In his later years, he remains a huge mystery to his son, William. Now, to get to know the real man, Will begins piecing together a true picture of his father from flashbacks of his amazing adventures.",8.7979,2003-12-25,Big Fish,7.758,7451,Big Fish,2003
